subject_code,subject_name
OE 048,Discrete Mathematics
OE 039,Applied Linear Algebra
OE 049,Applied Linear Algebra
CE 701,"Design of Steel Structures"
CE 702,Water Resources Engg
CE 031,Bridge Engineering
CE 032,Finite Element Methods
CE 033,Environmental Geo-technology
CE 034,Industrial Pollution Control & Env. Audit
CE 035,Engineering Hydrology
CE 041,Precast and Modular Construction Practices
CE 042,Plastic Analysis of Structures
CE 043,Open Channel Flow
CE 044,Tunnel Engineering
CE 801,Transportation Engineering -II
CE 051,Computer Aided Design
CE 052,Analysis and Design of Hydraulic Structures
CE 053,Water Resources Systems
CE 054,Machine Foundation Design
CE 061,Ground Improvement Techniques
CE 062,River Engineering
CE 063,Groundwater Management
CE 064,Earthquake Resistant Design of Structures
OE 071,Entrepreneurship Development
OE 072,Quality Management
OE 073,Operations Research
OE 074,Introduction to Biotechnology
OE 081,Non Conventional Energy Resources
OE 082,Nonlinear Dynamic Systems
OE 083,Product Development
OE 084,Automation & Robotics
AS 301,MathematicsIII
VE 301,Uiversal Huma Value &Professioal Ethics
AS 302,Evirometal & Ecology
EC 301,Digital Logic Desig 
CS 301,Discrete Structures & Theory of  Logic
CS 302,Computer Orgaizatio ad  Architecture
CS 305,Data Structures 
EC 351,Digital Logic Desig Lab
CS 351,Discrete Structure & Logic Lab
CS 352,Computer Orgaizatio Lab
CS 355,Data Structures Usig C
CS 501,Desig ad Aalysis of Algorithm 
CS 502,Database Maagmet System
CS 503,Priciple of Programmig Laguage
CS 504,Web Techology
IT 501,Maagmet Iformatio System
HU 501,Egieerig Ecoomics
AS 402,Evirometal & Ecology
VE 401,Huma Values & Professioal Ethics
EC 406,Iformatio Theory ad Codig
CS 401,Operatig Systems
CS 402,Software Egieerig
CS 403,Theory of Automata ad Formal Laguages
CS 601,Computer etworkks
CS 602,Software Egieerig
CS 603,Compiler Desig
HU 601,Idustrial Maagemet
IT 701,Cryptography & etwork Security
CS 702,Artificial Itelligece
IT 801,Mobile Computig
OE 030,Maufacturig Process
OE 040,Maufacturig Process
OE 032,ao Sciece
OE 042,ao Sciece
OE 033,Laser System ad Applicatio
OE 043,Laser System ad Applicatio
OE 034,Space Sciece
OE 044,Space Sciece
OE 036,uclear Sciece
OE 046,uclear Sciece
OE 047,Material Sciece
OE 037,Material Sciece
OE 039,Applied Liear Algebra
OE 049,Applied Liear Algebra
IT 061,Iformatio Retrieval ad Maagemet
